ontology_version,review_id,election_year,normalized_option,question,option_text,decision,primary_domain,policy_domains_json,policy_key,effects_json,confidence,reviewer_notes,consensus_status,direction_resolutions_json,review_source
2.0.1,7316C27BE82BA07E,2002,"require that crimes based on gender, sexual orientation or disability be prosecuted as hate crimes.",Indicate which principles you support (if any) to address crime.,"k) Require that crimes based on gender, sexual orientation or disability be prosecuted as hate crimes.",adjudicated,criminal_justice,"[""criminal_justice"",""welfare""]",,"[{""axis"":""business_scale_alignment"",""pole"":""small_business"",""strength"":""primary"",""rationale"":""The impact on small businesses is unclear, but it could potentially increase costs for businesses that are targeted by hate crimes.""},{""axis"":""labor_capital_alignment"",""pole"":""labor"",""strength"":""secondary"",""rationale"":""This policy may impact labor relations as employers and employees may have different perspectives on the issue of hate crime legislation.""},{""axis"":""market_governance"",""pole"":""intervention"",""strength"":""primary"",""rationale"":""This policy involves government intervention in the legal process to ensure that certain crimes are prosecuted as hate crimes.""}]",medium,,direction_conflict,"{""welfare_policy"": ""not_applicable""}",focused_ministral_direction_adjudication
2.0.1,767A9519A76D2C79,2014,do you support medicaid expansion under the affordable care act?,,d) Do you support Medicaid expansion under the Affordable Care Act?,adjudicated,welfare,"[""welfare""]",,"[{""axis"":""welfare_policy"",""pole"":""expansion"",""strength"":""primary"",""rationale"":""Focused Ministral pole adjudication""}]",medium,,direction_conflict,"{""welfare_policy"": ""expansion""}",focused_ministral_direction_adjudication
2.0.1,769166C67EE826C8,2010,should a minor who sends sexually-explicit or nude photos by cell phone face criminal charges?,,f) Should a minor who sends sexually-explicit or nude photos by cell phone face criminal charges?,adjudicated,criminal_justice,"[""criminal_justice""]",,"[{""axis"":""family_support_enforcement"",""pole"":""strict_enforcement"",""strength"":""primary"",""rationale"":""The question asks whether a minor who sends sexually-explicit or nude photos by cell phone should face criminal charges. This implies a focus on enforcing strict penalties for such actions, likely reflecting a stance against child exploitation and potentially advocating for stricter legal consequences.""},{""axis"":""criminal_punishment"",""pole"":""punitive"",""strength"":""primary"",""rationale"":""The policy suggests that sending sexually-explicit or nude photos by cell phone should result in criminal charges, indicating a punitive approach to addressing such behavior.""}]",medium,,compatible_additive,{},small_model_additive_consensus
2.0.1,79788219C2D42312,2014,should citizens be allowed to carry concealed guns?,,c) Should citizens be allowed to carry concealed guns?,adjudicated,guns,"[""guns""]",,"[{""axis"":""gun_access"",""pole"":""expand"",""strength"":""secondary"",""rationale"":""The policy allows more people the ability to carry concealed weapons.""}]",medium,,compatible_additive,{},small_model_additive_consensus
2.0.1,7EB52696081DFCF1,2010,political action committee,c) Do you support limits on the following types of contributions to candidates for state government?,2) Political Action Committee,adjudicated,business,"[""business"",""welfare""]",,"[{""axis"":""market_governance"",""pole"":""intervention"",""strength"":""primary"",""rationale"":""Focused Ministral pole adjudication""}]",medium,,direction_conflict,"{""market_governance"": ""intervention""}",focused_ministral_direction_adjudication
2.0.1,7F56AA668C1DD545,2014,law enforcement/corrections,"1) State Spending:Using the key, indicate what state funding levels (#1-6) you support for the following general categories. Select one level per category; you may use a number more than once.2) State Taxes:Using the key, indicate what state tax levels (#1-6) you support for the following general categories. Select one level per category; you may use a number more than once.3) Budget Stabilization:Indicate which proposals you support (if any) for balancing Alabama's budget.",e) Law enforcement/corrections,adjudicated,government_reform,"[""government_reform"",""welfare""]",,"[{""axis"":""welfare_policy"",""pole"":""restriction"",""strength"":""primary"",""rationale"":""Focused Ministral pole adjudication""}]",medium,,direction_conflict,"{""welfare_policy"": ""restriction""}",focused_ministral_direction_adjudication
2.0.1,8C79679C3CD55C04,2018,do you support medicaid expansion through alabama's health care programs?,,b) Do you support Medicaid expansion through Alabama's health care programs?,adjudicated,welfare,"[""welfare""]",,"[{""axis"":""welfare_policy"",""pole"":""expansion"",""strength"":""secondary"",""rationale"":""The question asks for support of Medicaid expansion.""}]",medium,,compatible_additive,{},small_model_additive_consensus
2.0.1,8FDCBA6BE570A020,2010,should current elected officials be prohibited from holding additional state jobs?,c) Do you support limits on the following types of contributions to candidates for state government?,g) Should current elected officials be prohibited from holding additional state jobs?,adjudicated,business,"[""business"",""welfare""]",,"[{""axis"":""welfare_policy"",""pole"":""restriction"",""strength"":""secondary"",""rationale"":""This option restricts the ability of officials to hold additional state jobs. This is a form of market governance intervention.""}]",medium,,compatible_additive,{},small_model_additive_consensus
2.0.1,931EB467CC8B2AA0,2006,redirect welfare funding to faith-based and community-based private organizations.,Indicate which principles you support (if any) regarding welfare.,d) Redirect welfare funding to faith-based and community-based private organizations.,adjudicated,welfare,"[""welfare""]",,"[{""axis"":""welfare_policy"",""pole"":""restriction"",""strength"":""secondary"",""rationale"":""The policy is a restriction on the scope of welfare programs.""},{""axis"":""business_scale_alignment"",""pole"":""small_business"",""strength"":""primary"",""rationale"":""The policy favors smaller organizations, potentially impacting larger ones.""},{""axis"":""public_private_provision"",""pole"":""private_provision"",""strength"":""primary"",""rationale"":""Shifting funding from public to private entities for welfare services.""}]",medium,,compatible_additive,{},small_model_additive_consensus
2.0.1,9425212F9E5F1AAD,2010,do you support providing financial incentives to the private sector for the purpose of job creation?,,d) Do you support providing financial incentives to the private sector for the purpose of job creation?,adjudicated,business,"[""business"",""welfare""]",,"[{""axis"":""welfare_policy"",""pole"":""expansion"",""strength"":""secondary"",""rationale"":""The policy is designed to encourage job creation by providing financial incentives to employers who offer childcare benefits.""},{""axis"":""business_scale_alignment"",""pole"":""small_business"",""strength"":""primary"",""rationale"":""This option specifically targets the private sector, including small businesses, as a means to stimulate job creation.""},{""axis"":""market_governance"",""pole"":""market_autonomy"",""strength"":""primary"",""rationale"":""Providing financial incentives to the private sector is a form of market autonomy, allowing businesses more freedom in their operations and decision-making processes.""}]",medium,,compatible_additive,{},small_model_additive_consensus
2.0.1,95759DE3BF6FFDC2,2010,"do you support a universally-accessible, publicly-administered health insurance option?",,"a) Do you support a universally-accessible, publicly-administered health insurance option?",adjudicated,welfare,"[""welfare""]",,"[{""axis"":""welfare_policy"",""pole"":""expansion"",""strength"":""secondary"",""rationale"":""secondary""}]",medium,,compatible_additive,{},small_model_additive_consensus
2.0.1,9D9EDCB0385C047E,1998,support state-funded merit scholarships for alabama students to attend college in alabama.,Indicate which principles you support (if any) regarding education.,j) Support state-funded merit scholarships for Alabama students to attend college in Alabama.,adjudicated,education,"[""education""]",,"[{""axis"":""welfare_policy"",""pole"":""expansion"",""strength"":""secondary"",""rationale"":""secondary""},{""axis"":""business_scale_alignment"",""pole"":""small_business"",""strength"":""secondary"",""rationale"":""secondary""}]",medium,,compatible_additive,{},small_model_additive_consensus
2.0.1,A034F58CAE369A18,2014,transportation/infrastructure,"1) State Spending:Using the key, indicate what state funding levels (#1-6) you support for the following general categories. Select one level per category; you may use a number more than once.2) State Taxes:Using the key, indicate what state tax levels (#1-6) you support for the following general categories. Select one level per category; you may use a number more than once.3) Budget Stabilization:Indicate which proposals you support (if any) for balancing Alabama's budget.",f) Transportation/infrastructure,adjudicated,business,"[""business""]",,"[{""axis"":""welfare_policy"",""pole"":""expansion"",""strength"":""secondary"",""rationale"":""The candidate supports increased state funding for transportation/infrastructure.""},{""axis"":""market_governance"",""pole"":""intervention"",""strength"":""primary"",""rationale"":""Focused Ministral pole adjudication""}]",medium,,direction_conflict,"{""market_governance"": ""intervention""}",focused_ministral_direction_adjudication
2.0.1,A3DAFE003331A320,2014,is the tenure process for public school teachers producing effective teachers?,,c) Is the tenure process for public school teachers producing effective teachers?,adjudicated,education,"[""education""]",,"[{""axis"":""welfare_policy"",""pole"":""restriction"",""strength"":""secondary"",""rationale"":""The question asks if the tenure process is producing effective teachers. This implies a restriction on teacher tenure, which would likely lead to fewer teachers being able to stay in their positions and potentially impact the quality of education.""}]",medium,,compatible_additive,{},small_model_additive_consensus
2.0.1,A7650344F2E564A0,2010,political party,c) Do you support limits on the following types of contributions to candidates for state government?,4) Political Party,adjudicated,business,"[""business"",""welfare""]",,"[{""axis"":""market_governance"",""pole"":""intervention"",""strength"":""secondary"",""rationale"":""The policy is a restriction on political party contributions to candidates. This suggests the candidate supports limiting market influence in the political process.""}]",medium,,compatible_additive,{},small_model_additive_consensus
2.0.1,A8F2E5E479B405FD,2006,use federal tanf (temporary assistance to needy families) funds to extend health and child care subsidies to the working poor.,Indicate which principles you support (if any) regarding welfare.,e) Use federal TANF (Temporary Assistance to Needy Families) funds to extend health and child care subsidies to the working poor.,adjudicated,welfare,"[""welfare""]",,"[{""axis"":""welfare_policy"",""pole"":""expansion"",""strength"":""secondary"",""rationale"":""The policy expands access to childcare services for working poor families.""},{""axis"":""business_scale_alignment"",""pole"":""small_business"",""strength"":""secondary"",""rationale"":""The policy incentivizes employers to provide childcare, potentially benefiting small businesses.""},{""axis"":""childcare_delivery"",""pole"":""employer_incentive"",""strength"":""primary"",""rationale"":""The policy uses federal TANF funds to incentivize employers to provide child care subsidies, which is a form of employer incentive under the childcare delivery axis.""}]",medium,,compatible_additive,{},small_model_additive_consensus
2.0.1,AD5450F8A17FF56B,2010,"do you support alternatives to incarceration for certain non-violent offenders, such as mandatory counseling or substance abuse treatment?",,"b) Do you support alternatives to incarceration for certain non-violent offenders, such as mandatory counseling or substance abuse treatment?",adjudicated,welfare,"[""welfare""]",,"[{""axis"":""welfare_policy"",""pole"":""expansion"",""strength"":""secondary"",""rationale"":""secondary""}]",medium,,compatible_additive,{},small_model_additive_consensus
2.0.1,AE7AFBFDADB8713B,2006,should fee increases be used to balance the state budget?,State Budget: Indicate the funding levels (#1-6) you will support for the following general categories. Select one level per category.State Taxes: Indicate the tax levels (#1-6) you will support. Select one level per tax.,n) Should fee increases be used to balance the state budget?,adjudicated,taxation,"[""taxation""]",,"[{""axis"":""tax_distribution"",""pole"":""regressive"",""strength"":""secondary"",""rationale"":""secondary""}]",medium,,compatible_additive,{},small_model_additive_consensus
2.0.1,B14D15340216A904,1998,support a three-year moratorium on both new hog farms and all expansions of farms to over 500 hogs.,Indicate which principles you support (if any) regarding the environment and energy.,i) Support a three-year moratorium on both new hog farms and all expansions of farms to over 500 hogs.,adjudicated,environment,"[""environment""]",,"[{""axis"":""environmental_protection"",""pole"":""weaken"",""strength"":""secondary"",""rationale"":""The policy restricts the growth of a specific industry. This is likely to weaken environmental protection in the long term.""},{""axis"":""conservation_preservation"",""pole"":""preserve"",""strength"":""secondary"",""rationale"":""The moratorium could be seen as a preservation measure if it is intended to protect existing environmental conditions and prevent further degradation due to increased hog farming operations.""}]",medium,,compatible_additive,{},small_model_additive_consensus
2.0.1,B4C11C285F3DA7B1,1998,provide tax incentives to small businesses that provide health care to their employees.,Indicate which principles you support (if any) regarding health issues.,a) Provide tax incentives to small businesses that provide health care to their employees.,adjudicated,healthcare,"[""healthcare"",""welfare""]",,"[{""axis"":""welfare_policy"",""pole"":""expansion"",""strength"":""secondary"",""rationale"":""secondary""},{""axis"":""business_scale_alignment"",""pole"":""small_business"",""strength"":""primary"",""rationale"":""primary""},{""axis"":""market_governance"",""pole"":""intervention"",""strength"":""secondary"",""rationale"":""Tax incentives are a form of government intervention in the market by providing financial support for businesses that provide health care to their employees.""}]",medium,,compatible_additive,{},small_model_additive_consensus
2.0.1,B60E072A2DCDE919,2014,do you support expanding access to health care through commercial health insurance reform?,,b) Do you support expanding access to health care through commercial health insurance reform?,adjudicated,healthcare,"[""healthcare"",""welfare""]",,"[{""axis"":""welfare_policy"",""pole"":""expansion"",""strength"":""secondary"",""rationale"":""The question asks for support of expanding healthcare access through commercial health insurance reform.""}]",medium,,compatible_additive,{},small_model_additive_consensus
2.0.1,B81626DD5A2B1221,2014,should candidates for state office be encouraged to meet voluntary spending limits?,a) Do you support limits on the following types of contributions for state candidates?,b) Should candidates for state office be encouraged to meet voluntary spending limits?,adjudicated,business,"[""business"",""welfare""]",,[],medium,,direction_conflict,"{""welfare_policy"": ""not_applicable""}",focused_ministral_direction_adjudication
2.0.1,BBD154B206600077,2002,support the lower .08 blood-alcohol-content limit defining drunk driving.,Indicate which principles you support (if any) to address crime.,i) Support the lower .08 blood-alcohol-content limit defining drunk driving.,adjudicated,welfare,"[""welfare""]",,"[{""axis"":""welfare_policy"",""pole"":""restriction"",""strength"":""secondary"",""rationale"":""secondary""},{""axis"":""market_governance"",""pole"":""intervention"",""strength"":""primary"",""rationale"":""Setting a legal blood-alcohol limit is an intervention in the market of driving behavior.""}]",medium,,compatible_additive,{},small_model_additive_consensus
2.0.1,BDB4C004A3F394E9,2014,gas/oil taxes,"1) State Spending:Using the key, indicate what state funding levels (#1-6) you support for the following general categories. Select one level per category; you may use a number more than once.2) State Taxes:Using the key, indicate what state tax levels (#1-6) you support for the following general categories. Select one level per category; you may use a number more than once.3) Budget Stabilization:Indicate which proposals you support (if any) for balancing Alabama's budget.",d) Gas/Oil taxes,adjudicated,taxation,"[""taxation""]",,"[{""axis"":""welfare_policy"",""pole"":""restriction"",""strength"":""secondary"",""rationale"":""The text does not explicitly state the effect of this policy on welfare. It only mentions a restriction on gas/oil taxes.""},{""axis"":""business_scale_alignment"",""pole"":""large_business"",""strength"":""primary"",""rationale"":""The text does not explicitly state the effect of this policy on small or large businesses. It only mentions a restriction on gas/oil taxes.""},{""axis"":""market_governance"",""pole"":""intervention"",""strength"":""secondary"",""rationale"":""The imposition of taxes on gas and oil production is a form of market intervention to regulate the industry.""},{""axis"":""tax_distribution"",""pole"":""progressive"",""strength"":""primary"",""rationale"":""A progressive tax distribution means that higher income individuals or corporations pay a larger share of their income in taxes. This could be applied to gas and oil companies, ensuring they contribute more to the state's revenue.""}]",medium,,compatible_additive,{},small_model_additive_consensus
2.0.1,BDFC17C9697200A8,2002,decriminalize the use of marijuana for medicinal purposes.,Indicate which principles you support (if any) to address crime.,g) Decriminalize the use of marijuana for medicinal purposes.,adjudicated,criminal_justice,"[""criminal_justice""]",,"[{""axis"":""business_scale_alignment"",""pole"":""small_business"",""strength"":""secondary"",""rationale"":""The policy may impact small businesses that sell or provide services related to marijuana.""}]",medium,,direction_conflict,"{""welfare_policy"": ""not_applicable""}",focused_ministral_direction_adjudication
2.0.1,BE221EBFA9C53E45,2006,transfer current medicaid recipients into managed care programs.,Indicate which principles you support (if any) regarding health.,b) Transfer current Medicaid recipients into managed care programs.,adjudicated,healthcare,"[""healthcare"",""welfare""]",,"[{""axis"":""welfare_policy"",""pole"":""restriction"",""strength"":""primary"",""rationale"":""Focused Ministral pole adjudication""}]",medium,,direction_conflict,"{""welfare_policy"": ""restriction""}",focused_ministral_direction_adjudication
2.0.1,C4F21038900DEBEE,2002,transfer more existing medicaid recipients into managed care programs.,Indicate which principles you support (if any) regarding health issues.,b) Transfer more existing Medicaid recipients into managed care programs.,adjudicated,healthcare,"[""healthcare"",""welfare""]",,"[{""axis"":""welfare_policy"",""pole"":""restriction"",""strength"":""primary"",""rationale"":""Focused Ministral pole adjudication""}]",medium,,direction_conflict,"{""welfare_policy"": ""restriction""}",focused_ministral_direction_adjudication
2.0.1,C5DA12534832F532,2002,increase state funding to expand head start programs.,Indicate which principles you support (if any) regarding education.,j) Increase state funding to expand Head Start programs.,adjudicated,education,"[""education""]",,"[{""axis"":""welfare_policy"",""pole"":""expansion"",""strength"":""secondary"",""rationale"":""The policy is a form of expansion.""},{""axis"":""business_scale_alignment"",""pole"":""small_business"",""strength"":""secondary"",""rationale"":""Head Start programs are often run by non-profits and small businesses.""}]",medium,,compatible_additive,{},small_model_additive_consensus
2.0.1,C9499D0747CD29F1,1998,require the use of cleaner burning fuels in order to prevent pollution.,Indicate which principles you support (if any) regarding the environment and energy.,a) Require the use of cleaner burning fuels in order to prevent pollution.,adjudicated,environment,"[""environment""]",,"[{""axis"":""environmental_protection"",""pole"":""strengthen"",""strength"":""secondary"",""rationale"":""The policy explicitly seeks to strengthen environmental protection by requiring cleaner burning fuels.""},{""axis"":""market_governance"",""pole"":""intervention"",""strength"":""primary"",""rationale"":""The policy requires a specific action (using cleaner burning fuels) which is an intervention in the market.""}]",medium,,compatible_additive,{},small_model_additive_consensus
2.0.1,CEE7FF2B6F853736,2018,do you support eliminating religious exemptions for vaccinations?,,e) Do you support eliminating religious exemptions for vaccinations?,adjudicated,healthcare,"[""healthcare"",""welfare""]",,"[{""axis"":""public_private_provision"",""pole"":""public_provision"",""strength"":""secondary"",""rationale"":""This option implies a shift from private to public provision of healthcare services.""},{""axis"":""welfare_policy"",""pole"":""restriction"",""strength"":""primary"",""rationale"":""Focused Ministral pole adjudication""}]",medium,,direction_conflict,"{""welfare_policy"": ""restriction""}",focused_ministral_direction_adjudication
2.0.1,CF3028AB45081628,2014,"do you support alternatives to incarceration for certain non-violent offenders, such as mandatory counseling or substance abuse treatment?",,"b) Do you support alternatives to incarceration for certain non-violent offenders, such as mandatory counseling or substance abuse treatment?",adjudicated,welfare,"[""welfare""]",,"[{""axis"":""welfare_policy"",""pole"":""expansion"",""strength"":""secondary"",""rationale"":""This is a policy that expands the availability of childcare support.""}]",medium,,compatible_additive,{},small_model_additive_consensus
2.0.1,CFF92AE2BB06F063,2002,"use state funds to clean up former industrial and commercial sites that are contaminated, unused or abandoned.",Indicate which principles you support (if any) regarding the environment and energy.,"b) Use state funds to clean up former industrial and commercial sites that are contaminated, unused or abandoned.",adjudicated,environment,"[""environment""]",,"[{""axis"":""environmental_protection"",""pole"":""strengthen"",""strength"":""secondary"",""rationale"":""The policy directly addresses environmental contamination and cleanup.""},{""axis"":""conservation_preservation"",""pole"":""preserve"",""strength"":""primary"",""rationale"":""The policy aims to prevent further environmental damage by cleaning up abandoned sites.""}]",medium,,compatible_additive,{},small_model_additive_consensus
2.0.1,D328971C903F1683,1998,restructure the electric utility industry to allow consumers to choose their power company.,Indicate which principles you support (if any) regarding the environment and energy.,h) Restructure the electric utility industry to allow consumers to choose their power company.,adjudicated,environment,"[""environment""]",,"[{""axis"":""market_governance"",""pole"":""market_autonomy"",""strength"":""secondary"",""rationale"":""This policy allows for market-based competition in the electric utility industry.""},{""axis"":""business_scale_alignment"",""pole"":""small_business"",""strength"":""primary"",""rationale"":""The policy directly impacts small businesses by allowing them to compete with larger companies.""},{""axis"":""environmental_protection"",""pole"":""weaken"",""strength"":""primary"",""rationale"":""Restructuring the electric utility industry to allow consumers to choose their power company may lead to a decrease in environmental protection regulations, as utilities might prioritize profit over conservation efforts.""},{""axis"":""conservation_preservation"",""pole"":""develop"",""strength"":""secondary"",""rationale"":""Allowing consumers to choose their power company could potentially increase the development of renewable energy sources and more efficient use of resources, which aligns with conservation preservation principles.""}]",medium,,compatible_additive,{},small_model_additive_consensus
2.0.1,D55FDC04F3A4AA8A,2006,support marriage promotion programs for welfare recipients.,Indicate which principles you support (if any) regarding welfare.,f) Support marriage promotion programs for welfare recipients.,adjudicated,welfare,"[""welfare""]",,"[{""axis"":""family_support_enforcement"",""pole"":""strict_enforcement"",""strength"":""primary"",""rationale"":""Supporting marriage promotion could lead to stricter enforcement of family support policies, particularly those related to child custody and visitation rights.""},{""axis"":""welfare_policy"",""pole"":""restriction"",""strength"":""primary"",""rationale"":""Focused Ministral pole adjudication""}]",medium,,direction_conflict,"{""welfare_policy"": ""restriction""}",focused_ministral_direction_adjudication
2.0.1,D7EBE8A3B0F4393A,2014,should a minor who sends sexually-explicit or nude photos by cell phone face criminal charges?,,e) Should a minor who sends sexually-explicit or nude photos by cell phone face criminal charges?,adjudicated,criminal_justice,"[""criminal_justice""]",,"[{""axis"":""labor_capital_alignment"",""pole"":""labor"",""strength"":""secondary"",""rationale"":""none""},{""axis"":""tax_distribution"",""pole"":""regressive"",""strength"":""secondary"",""rationale"":""none""},{""axis"":""criminal_punishment"",""pole"":""punitive"",""strength"":""primary"",""rationale"":""The policy suggests that minors who send sexually explicit or nude photos should face criminal charges, indicating a punitive approach to addressing such behavior.""}]",medium,,compatible_additive,{},small_model_additive_consensus
2.0.1,D983DB3B49C90843,1998,support sex education programs which stress safe sexual practices.,Indicate which principles you support (if any) regarding education.,f) Support sex education programs which stress safe sexual practices.,adjudicated,education,"[""education""]",,"[{""axis"":""welfare_policy"",""pole"":""expansion"",""strength"":""secondary"",""rationale"":""The policy promotes the expansion of sex education programs.""}]",medium,,compatible_additive,{},small_model_additive_consensus
2.0.1,DB4AD8BA5596940A,2002,redirect welfare funding to faith-based and community-based private organizations.,Indicate which principles you support (if any) regarding welfare.,g) Redirect welfare funding to faith-based and community-based private organizations.,adjudicated,welfare,"[""welfare""]",,"[{""axis"":""welfare_policy"",""pole"":""restriction"",""strength"":""secondary"",""rationale"":""secondary""},{""axis"":""business_scale_alignment"",""pole"":""small_business"",""strength"":""secondary"",""rationale"":""secondary""},{""axis"":""public_private_provision"",""pole"":""private_provision"",""strength"":""primary"",""rationale"":""Shifting funding from public to private entities for welfare services.""}]",medium,,compatible_additive,{},small_model_additive_consensus
2.0.1,DC24DA6CE8CE0373,1998,deny or suspend state-issued permits and licenses to parents who are delinquent in paying court-ordered child support.,Indicate which principles you support (if any) regarding social issues.,d) Deny or suspend state-issued permits and licenses to parents who are delinquent in paying court-ordered child support.,adjudicated,childcare,"[""childcare""]",,"[{""axis"":""welfare_policy"",""pole"":""restriction"",""strength"":""secondary"",""rationale"":""This policy restricts the ability of parents to obtain licenses and permits. This is a restriction on access to resources.""},{""axis"":""business_scale_alignment"",""pole"":""small_business"",""strength"":""secondary"",""rationale"":""This policy could impact small businesses that rely on state-issued permits and licenses. This is a restriction on access to resources.""},{""axis"":""family_support_enforcement"",""pole"":""strict_enforcement"",""strength"":""primary"",""rationale"":""The policy involves suspending permits and licenses as an enforcement mechanism for unpaid child support, indicating a strict approach to enforcing family responsibilities.""}]",medium,,compatible_additive,{},small_model_additive_consensus
2.0.1,EA2FFA874E5E7780,2018,do you support any limits on campaign contributions to state candidates?,,a) Do you support any limits on campaign contributions to state candidates?,adjudicated,government_reform,"[""government_reform"",""welfare""]",,"[{""axis"":""welfare_policy"",""pole"":""restriction"",""strength"":""secondary"",""rationale"":""The policy is a restriction on campaign contributions.""}]",medium,,compatible_additive,{},small_model_additive_consensus
2.0.1,EFC7DFA03B262A76,2018,should a minor accused of a violent crime be prosecuted as an adult?,,c) Should a minor accused of a violent crime be prosecuted as an adult?,adjudicated,criminal_justice,"[""criminal_justice""]",,"[{""axis"":""welfare_policy"",""pole"":""restriction"",""strength"":""secondary"",""rationale"":""The policy mechanism is a restriction on the discretion of judges to decide whether or not to prosecute minors as adults.""},{""axis"":""criminal_punishment"",""pole"":""punitive"",""strength"":""primary"",""rationale"":""Prosecuting minors accused of violent crimes as adults would likely involve punitive measures, such as harsher penalties or incarceration.""}]",medium,,compatible_additive,{},small_model_additive_consensus
2.0.1,F03227E589B2FDD3,2010,should individuals be required to purchase health care insurance?,,d) Should individuals be required to purchase health care insurance?,adjudicated,welfare,"[""welfare""]",,"[{""axis"":""welfare_policy"",""pole"":""restriction"",""strength"":""secondary"",""rationale"":""The policy is a restriction on access to healthcare.""}]",medium,,compatible_additive,{},small_model_additive_consensus
2.0.1,F30F0BD890822606,2010,issuing the early release of certain non-violent offenders,1) State SpendingIndicate what state funding levels (#1-6) you support for the following general categories. Select one level per category; you may use a number more than once.2) State TaxesIndicate what state tax levels (#1-6) you support for the following general categories. Select one level per category; you may use a number more than once.3) Budget StabilizationIndicate which proposals you support (if any) for balancing Alabama's budget.,c) Issuing the early release of certain non-violent offenders,adjudicated,welfare,"[""welfare""]",,"[{""axis"":""labor_capital_alignment"",""pole"":""labor"",""strength"":""secondary"",""rationale"":""This policy may impact labor markets by affecting the availability of workers and potentially impacting wages.""},{""axis"":""business_scale_alignment"",""pole"":""small_business"",""strength"":""primary"",""rationale"":""Early release of offenders could affect small businesses in terms of labor costs, competition, and potential safety concerns.""},{""axis"":""tax_distribution"",""pole"":""regressive"",""strength"":""secondary"",""rationale"":""Reducing the number of incarcerated individuals may lead to lower tax revenues, potentially resulting in a more regressive tax distribution if not offset by other measures.""},{""axis"":""welfare_policy"",""pole"":""restriction"",""strength"":""primary"",""rationale"":""Focused Ministral pole adjudication""}]",medium,,direction_conflict,"{""welfare_policy"": ""restriction""}",focused_ministral_direction_adjudication
2.0.1,FADDAC9C37EC191A,2014,should a minor accused of a violent crime be prosecuted as an adult?,,d) Should a minor accused of a violent crime be prosecuted as an adult?,adjudicated,criminal_justice,"[""criminal_justice""]",,"[{""axis"":""welfare_policy"",""pole"":""restriction"",""strength"":""secondary"",""rationale"":""The policy is about restricting the enforcement of family support.""},{""axis"":""criminal_punishment"",""pole"":""punitive"",""strength"":""secondary"",""rationale"":""The policy suggests a punitive approach to criminal punishment for minors accused of violent crimes.""}]",medium,,compatible_additive,{},small_model_additive_consensus
2.0.1,FCCFD9807200C492,2006,"require that crimes based on race, ethnic background, religious belief, sex, age, disability, or sexual orientation be prosecuted as hate crimes.",Indicate which principles you support (if any) regarding crime.,"i) Require that crimes based on race, ethnic background, religious belief, sex, age, disability, or sexual orientation be prosecuted as hate crimes.",adjudicated,criminal_justice,"[""criminal_justice"",""welfare""]",,"[{""axis"":""welfare_policy"",""pole"":""expansion"",""strength"":""secondary"",""rationale"":""This policy would likely expand the scope of criminal justice and potentially increase the number of crimes prosecuted.""},{""axis"":""business_scale_alignment"",""pole"":""small_business"",""strength"":""secondary"",""rationale"":""This policy would likely impact small businesses, as they may be more susceptible to hate crimes.""},{""axis"":""labor_capital_alignment"",""pole"":""labor"",""strength"":""secondary"",""rationale"":""This policy could potentially affect labor relations and employer-employee dynamics, as it may impact the way businesses handle discrimination.""}]",medium,,compatible_additive,{},small_model_additive_consensus
2.0.1,FE34C50E38019745,2018,do you support adopting federal education standards in alabama?,,a) Do you support adopting federal education standards in Alabama?,adjudicated,education,"[""education""]",,"[{""axis"":""welfare_policy"",""pole"":""restriction"",""strength"":""secondary"",""rationale"":""none""},{""axis"":""business_scale_alignment"",""pole"":""small_business"",""strength"":""secondary"",""rationale"":""none""},{""axis"":""market_governance"",""pole"":""intervention"",""strength"":""primary"",""rationale"":""Support for adopting federal education standards implies some level of intervention in the market, potentially to ensure consistency across states and improve student outcomes.""}]",medium,,compatible_additive,{},small_model_additive_consensus
