organization,issue_categories,adjudication_status,adjudication_rationale
League of Women Voters,Civil Liberties and Civil Rights,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
"Legion for the Survival of Freedom, Inc. (Liberty Lobby)",Conservative,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
Liberty Central,Conservative,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
Liberty Guard,"Budget, Spending and Taxes",excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
Liberty for All,Economy and Fiscal,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
Long Term Care Community Coalition,Health and Health Care,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
Marijuana Policy Project (MPP),Marijuana,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
Maryland Free,Business and Consumers,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
Metals Service Center Institute,Business and Consumers,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
Military Officers Association of America,Military Personnel,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
Minnesota Farm Bureau,Agriculture and Food,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
Muslim Public Affairs Council,Religion,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
NARAL Pro-Choice America,Abortion,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
"NETWORK, A National Catholic Social Justice Lobby",Economy and Fiscal,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
NORML (National Organization for the Reform of Marijuana Laws),Marijuana,mapped_to_specific_issue,Explicit organization-to-primitive mapping is documented.
National Active and Retired Federal Employees Association,Employment and Affirmative Action,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
National Animal Interest Alliance Trust,Animals and Wildlife,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
National Association for Addiction Professionals (formerly National Association of Alcohol and Drug Abuse Counselors),Drugs,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
National Association for College Admission Counseling (NACAC),Higher Education,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
National Association for the Advancement of Colored People (NAACP),Civil Liberties and Civil Rights,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
National Association for the Self-Employed,Business and Consumers,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
National Association of Counties,"Federal, State and Local Relations",excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
National Association of Elementary School Principals,K-12 Education,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
National Association of Government Contractors,Business and Consumers,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
National Association of Home Builders,,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
National Association of Manufacturers,Business and Consumers,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
National Association of Police Organizations (NAPO),Criminal Justice,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
National Association of Social Workers,Health and Health Care,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
National Association of Wheat Growers,Agriculture and Food,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
National Association of Wholesaler-Distributors,Business and Consumers,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
National Breast Cancer Coalition (NBCC),Health and Health Care,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
National Cannabis Industry Association,Marijuana,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
National Committee for an Effective Congress,Civil Liberties and Civil Rights,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
National Committee to Preserve Social Security and Medicare (NCPSSM),Entitlements and the Safety Net,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
National Council of Agricultural Employers,Agriculture and Food,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
National Council of Senior Citizens,Entitlements and the Safety Net,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
National Criminal Justice Association,Criminal Justice,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
National Education Association (NEA),Education,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
National Electrical Contractors Association,Business and Consumers,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
National Employment Lawyers Association,Employment and Affirmative Action,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
National Family Planning & Reproductive Health Association,Health and Health Care,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
National Farmers Union,Agriculture and Food,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
National Federation of Independent Business (NFIB),Business and Consumers,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
National Federation of Independent Business - Alabama,Business and Consumers,mapped_to_specific_issue,Explicit organization-to-primitive mapping is documented.
National Foreign Trade Council,Foreign Affairs,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
National Hispanic Leadership Agenda,Immigration,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
National Iranian American Council (NIAC),Immigration,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
National Journal,"Arts, Entertainment, and History",excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
National Latino Congreso/William C. Velásquez Institute,Immigration,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
National Lumber and Building Material Dealers Association,Business and Consumers,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
National Organization for Women (NOW),Civil Liberties and Civil Rights,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
National Parent Teacher Association,Family,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
National Parks Conservation Association (NPCA),Environment,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
National Ready Mixed Concrete Association,Business and Consumers,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
National Religious Campaign Against Torture,Civil Liberties and Civil Rights,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
National Restaurant Association,Business and Consumers,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
National Retail Federation (NRF),Business and Consumers,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
National Rifle Association (NRA),Guns,mapped_to_specific_issue,Explicit organization-to-primitive mapping is documented.
National Rifle Association Political Victory Fund (NRA-PVF) - Alabama,Guns,mapped_to_specific_issue,Explicit organization-to-primitive mapping is documented.
National Right to Life Committee,Abortion,mapped_to_specific_issue,Explicit organization-to-primitive mapping is documented.
National Rural Health Association,Health and Health Care,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
National School Boards Association,K-12 Education,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
National Shooting Sports Foundation,Guns,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
National Small Business Association (NSBA),Business and Consumers,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
"National Stone, Sand & Gravel Association",Business and Consumers,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
National Tax Limitation Committee,Fiscally Conservative,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
National Taxpayers Union,Fiscally Conservative,mapped_to_specific_issue,Explicit organization-to-primitive mapping is documented.
National Treasury Employees Union,Labor Unions,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
National Trust for Historic Preservation,"Arts, Entertainment, and History",excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
NewPolicy.org,Foreign Affairs,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
Non Commissioned Officers Association,Military Personnel,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
Nuclear Age Peace Foundation,Energy,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
NumbersUSA,Immigration,mapped_to_specific_issue,Explicit organization-to-primitive mapping is documented.
Open Doors USA,Religion,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
Outdoor Industry Association Political Action Committee,"Arts, Entertainment, and History",excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
"PFLAG, Parents, Families and Friends of Lesbians and Gays",Civil Liberties and Civil Rights,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
Parkinsons Action Network,Health and Health Care,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
Partnership for America,Economy and Fiscal,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
Peace Action,Defense,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
Planned Parenthood Action Fund,Abortion,mapped_to_specific_issue,Explicit organization-to-primitive mapping is documented.
Plastics Industry Association,Business and Consumers,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
Plug in America,Business and Consumers,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
Plumbing-Heating-Cooling Contractors Association,Business and Consumers,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
Population Action International,Family,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
Population Connection Action Fund,Family,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
Progressive Democrats of America,Fiscally Liberal,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
Progressive Patriots Fund,Constitution,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
Progressive Punch,Economy and Fiscal,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
Public Citizen,Business and Consumers,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
RESULTS,Fiscally Liberal,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
Radical Middle,Liberal,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
Republican Liberty Caucus,Civil Liberties and Civil Rights,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
Resolve Uganda,Foreign Affairs,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
Retire Safe,Senior Citizens,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
Run for Something,,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
Sargent Shriver National Center on Poverty Law,Entitlements and the Safety Net,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
School Nutrition Association,K-12 Education,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
Secular Coalition for America,Religion,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
Service Employees International Union (SEIU),Entitlements and the Safety Net,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
Sierra Club,Animals and Wildlife,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
Small Business & Entrepreneurship Council,Business and Consumers,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
Smokefree Action,Health and Health Care,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
Sportsmen's and Animal Owners' Voting Alliance,Animals and Wildlife,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
St. Joseph Health System,Health and Health Care,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
Stand Against Spying,Civil Liberties and Civil Rights,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
State PIRGs Working Together,Business and Consumers,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
Susan B. Anthony Pro-Life America,Abortion,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
Taxpayers for Common Sense,Government Budget and Spending,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
Teachers of English to Speakers of Other Languages (TESOL),Education,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
TechCrunch,Technology and Communication,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
The American College of Physicians,Health and Health Care,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
The American Counseling Association,Health and Health Care,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
The American Hellenic Educational Progressive Association,Education,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
The American Legion,Veterans,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
The Arc,Civil Liberties and Civil Rights,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
The Cato Institute,Fiscally Conservative,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
The Center for Education Reform,Education,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
The Children's Health Fund,Health and Health Care,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
The Club for Growth,Fiscally Conservative,mapped_to_specific_issue,Explicit organization-to-primitive mapping is documented.
The Coalition to Stop Gun Violence,Guns,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
The Cornucopia Institute,Agriculture and Food,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
The John Birch Society,Religion,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
The Leadership Conference on Civil and Human Rights,Civil Liberties and Civil Rights,mapped_to_specific_issue,Explicit organization-to-primitive mapping is documented.
The Leukemia & Lymphoma Society (LLS),Health and Health Care,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
The Libertarian Party,Fiscally Conservative,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
The Lugar Center,Government Operations,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
The National Mining Association,Natural Resources,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
The Partnership for the Homeless,Unemployed and Low-Income,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
The Poker Players Alliance,Gambling and Gaming,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
The Population Institute,Reproduction,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
The Public Affairs Alliance of Iranian Americans (PAAIA),Immigration,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
The Retired Enlisted Association,Entitlements and the Safety Net,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
The Woman Activist,Women,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
Traditional Values Coalition,Conservative,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
Transportation Communications Union,Labor Unions,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
U.S. Term Limits (USTL),Elections,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
UFCW (United Food and Commercial Workers),Food Processing and Sales,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
USA Engage,Foreign Affairs,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
UnidosUS,Civil Liberties and Civil Rights,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
"United Automobile, Aerospace and Agricultural Implement Workers of America (UAW)",Labor Unions,mapped_to_specific_issue,Explicit organization-to-primitive mapping is documented.
United Fresh Produce Association,Agriculture and Food,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
United Mine Workers of America,,mapped_to_specific_issue,Explicit organization-to-primitive mapping is documented.
United Seniors Association,Entitlements and the Safety Net,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
United States Border Control,Immigration,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
United States Business and Industry Council,Business and Consumers,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
United States Chamber of Commerce,Business and Consumers,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
United States English,Immigration,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
United States Public Interest Research Group (U.S. PIRG),Business and Consumers,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
United States Student Association,Higher Education,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
United States Women's Chamber of Commerce,Economy and Fiscal,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
United To End Genocide (formerly known as the Save Darfur Coalition and Genocide Intervention Network),Civil Liberties and Civil Rights,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
Utility Workers Union of America (UWUA),Labor Unions,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
Venn Institute,Civil Liberties and Civil Rights,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
Veterans For America First,,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
Vietnam Veterans of America,Veterans,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
Voices for Creative Nonviolence,Defense,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
Vote Hemp,Agriculture and Food,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
Vote Kids,Elections,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
VoteVets,,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
Washington Report on Middle East Affairs (WRMEA),Foreign Affairs,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
Women Employed,Employment and Affirmative Action,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
Women's Action for New Directions (WAND),Defense,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
Women's Campaign Fund,,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
Workplace Choice,Labor Unions,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
Workplace Fairness,Employment and Affirmative Action,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
Young Women's Christian Association (YWCA),Religion,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
