state,year,chamber,outcome_rows_current,contested_races_current,outcome_status,observed_baseline_races,research_baseline_races,baseline_status,accepted_incumbency_races,accepted_incumbency_gap_known_current,incumbency_status,incumbency_quality_values,local_source_status,local_source_path,demographics_status,demographics_reference_year,finance_status,strict_war_races_current,research_war_races_current,strict_war_gap_known_current,core_war_status,basic_forecast_status,full_forecast_status,priority_tier,next_action
TX,2018,senate,15,13,current_panel,13,13,complete_observed,13,0,accepted_complete,source_observed,integrated_current_panel,,unified_ready,2018.0,processed_not_integrated,13,13,0,ready,ready,not_ready,3,integrate_candidate_finance
TX,2020,house,150,94,current_panel,94,94,complete_observed,94,0,accepted_complete,source_observed,integrated_current_panel,,unified_ready,2020.0,processed_not_integrated,94,94,0,ready,ready,not_ready,3,integrate_candidate_finance
TX,2020,senate,16,13,current_panel,13,13,complete_observed,13,0,accepted_complete,source_observed,integrated_current_panel,,unified_ready,2020.0,processed_not_integrated,13,13,0,ready,ready,not_ready,3,integrate_candidate_finance
TX,2022,house,150,80,current_panel,80,80,complete_observed,80,0,accepted_complete,source_observed,integrated_current_panel,,unified_ready,2022.0,processed_not_integrated,80,80,0,ready,ready,not_ready,3,integrate_candidate_finance
TX,2022,senate,31,18,current_panel,18,18,complete_observed,18,0,accepted_complete,source_observed,integrated_current_panel,,unified_ready,2022.0,processed_not_integrated,18,18,0,ready,ready,not_ready,3,integrate_candidate_finance
TX,2024,house,89,89,contested_only_current,89,89,complete_observed,89,0,accepted_complete,source_observed,integrated_current_panel,,unified_ready,2024.0,processed_not_integrated,89,89,0,ready,ready,not_ready,3,integrate_candidate_finance
TX,2024,senate,10,10,contested_only_current,10,10,complete_observed,10,0,accepted_complete,source_observed,integrated_current_panel,,unified_ready,2024.0,processed_not_integrated,10,10,0,ready,ready,not_ready,3,integrate_candidate_finance
AL,2018,house,105,49,current_panel,49,49,complete_observed,49,0,accepted_complete,canonical_reviewed,integrated_current_panel,,state_specific_ready,2018.0,harmonized_ready,49,49,0,ready,ready,ready,4,ready_for_retraining
AL,2018,senate,35,15,current_panel,15,15,complete_observed,15,0,accepted_complete,canonical_reviewed,integrated_current_panel,,state_specific_ready,2018.0,harmonized_ready,15,15,0,ready,ready,ready,4,ready_for_retraining
AL,2022,house,105,25,current_panel,25,25,complete_observed,25,0,accepted_complete,canonical_reviewed,integrated_current_panel,,state_specific_ready,2022.0,harmonized_ready,25,25,0,ready,ready,ready,4,ready_for_retraining
AL,2022,senate,35,8,current_panel,8,8,complete_observed,8,0,accepted_complete,canonical_reviewed,integrated_current_panel,,state_specific_ready,2022.0,harmonized_ready,8,8,0,ready,ready,ready,4,ready_for_retraining
